Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2005,02,009000,013,0070,999,99999, , ,99503      ,4,9,12,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,02,041000,020,0140,999,11260, ,1,995196650  ,4,9,12,Municipality of Anchorage,668,668,179834841,187,374,63024983,51,189,25123552,32,435,56497338,668,668,179834841,187,374,63024983,51,189,25123552,32,435,56497338
2005,02,049000,232,0160,999,99999, , ,99820      ,4,9,7,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,02,069000,000,    ,999,99999,2, ,99501      ,4,9,0,Balance of State-Part 1 Anchorage,120,120,20907874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,02,073000,000,    ,999,99999,2, ,99701      ,4,9,0,Balance of State-Part 2 Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,02,077000,000,    ,999,99999,2, ,99801      ,4,9,0,Balance of State-Part 3 Juneau,114,114,24089258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,02,085000,050,0310,999,99999, , ,99559      ,4,9,11,Bethel,53,53,7580435,5,10,800000,2,6,600000,0,0,0,44,44,6250000,5,10,800000,2,6,600000,0,0,0
2005,02,097000,060,    ,999,99999, , ,99633      ,4,9,12,Bristol Bay Borough,3,3,480000,0,0,0,0,0,0,0,0,0,3,3,480000,0,0,0,0,0,0,0,0,0
2005,02,133000,261,0820,999,99999,2, ,99574      ,4,9,11,Cordova,13,13,1996000,0,0,0,0,0,0,0,0,0,13,13,1996000,0,0,0,0,0,0,0,0,0
2005,02,137000,201,0830,999,99999, , ,99921      ,4,9,12,Craig,3,3,511066,0,0,0,0,0,0,0,0,0,3,3,511066,0,0,0,0,0,0,0,0,0
2005,02,177000,090,1080,999,21820, ,1,99701      ,4,9,0,Fairbanks,13,13,1193712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,02,181000,090,    ,999,21820, , ,99707      ,4,9,12,Fairbanks North Star Borough Unincorporated Area,113,113,20207420,11,22,2280790,0,0,0,0,0,0,113,113,20207420,11,22,2280790,0,0,0,0,0,0
2005,02,209000,100,    ,999,99999, , ,99827      ,4,9,12,Haines borough,3,3,355000,0,0,0,0,0,0,0,0,0,3,3,355000,0,0,0,0,0,0,0,0,0
2005,02,221000,122,1370,999,99999, , ,99603      ,4,9,11,Homer,55,55,10583142,2,4,117000,1,3,300000,1,5,550000,53,53,10262400,2,4,117000,1,3,300000,1,5,550000
2005,02,233000,170,1410,999,11260, , ,996940027  ,4,9,0,Houston,68,68,7480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,02,253000,110,    ,999,99999, , ,99801      ,4,9,12,Juneau Borough,81,81,20590081,15,30,5805876,1,4,442510,2,10,1654576,81,81,20590081,15,30,5805876,1,4,442510,2,10,1654576
2005,02,277000,122,1630,999,99999, , ,99611      ,4,9,12,Kenai,23,23,4075500,1,2,298000,0,0,0,0,0,0,23,23,4075500,1,2,298000,0,0,0,0,0,0
2005,02,289000,130,    ,999,99999, , ,99901      ,4,9,12,Ketchikan Gateway Borough,20,20,3453596,3,6,588969,1,3,212488,0,0,0,20,20,3453596,3,6,588969,1,3,212488,0,0,0
