Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9699,01,3,6,Alabama,14566,14566,1301462,108,216,10131,75,285,10333,397,4801,186812,13386,13386,1195374,106,212,9996,69,267,10195,375,4680,182589
9699,02,4,9,Alaska,1810,1810,249435,106,212,21770,30,101,10540,38,517,34680,1625,1625,224328,90,180,19026,26,89,9729,32,473,31854
9699,04,4,8,Arizona,41311,41311,4759903,213,426,30839,115,418,29026,844,11560,628798,40390,40390,4665370,213,426,30839,115,418,29026,834,11497,626503
9699,05,3,7,Arkansas,7671,7671,673828,282,564,22974,121,432,12679,220,2477,67672,7283,7283,651105,265,530,22027,108,389,11686,216,2456,66767
9699,06,4,9,California,73532,73532,11130529,569,1138,110365,704,2457,200184,1042,14933,1031216,72039,72039,10886624,541,1082,105474,681,2384,194461,973,14471,996666
9699,08,4,8,Colorado,30361,30361,3621681,431,862,81568,306,1128,85941,744,8784,485679,30147,30147,3571272,424,848,78955,280,1040,67415,700,8300,447541
9699,09,1,1,Connecticut,7590,7590,941093,43,86,6786,39,129,7541,44,732,31802,7221,7221,893414,40,80,6637,39,129,7541,40,639,27299
9699,10,3,5,Delaware,4218,4218,342781,13,26,1448,1,4,271,16,122,7230,4169,4169,339917,13,26,1448,1,4,271,9,87,6670
9699,11,3,5,District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9699,12,3,5,Florida,91040,91040,9361145,744,1488,99500,644,2411,186202,1948,30081,1824813,90686,90686,9324777,743,1486,99467,643,2408,186153,1939,29931,1808119
9699,13,3,5,Georgia,59397,59397,5429227,495,990,36723,145,539,20291,849,13948,588981,56458,56458,5231947,470,940,34943,138,516,19715,835,13850,586274
9699,15,4,9,Hawaii,2698,2698,373848,29,58,7105,14,51,7508,60,1120,97601,2616,2616,365563,28,56,6974,14,51,7508,59,1114,97119
9699,16,4,8,Idaho,9180,9180,983104,147,294,22387,142,559,25428,74,722,28035,9024,9024,957232,146,292,22342,140,551,25046,73,717,27784
9699,17,2,3,Illinois,35912,35912,4423251,814,1628,109291,781,2796,166745,791,9256,499476,34576,34576,4294791,773,1546,104957,745,2680,160304,761,9027,490018
9699,18,2,3,Indiana,29863,29863,3428866,644,1288,80660,151,576,32859,412,5492,176867,27761,27761,3226220,588,1176,75607,142,544,31351,369,5216,167838
9699,19,2,4,Iowa,7923,7923,862899,221,442,30113,117,441,24158,216,3221,133367,7690,7690,843692,211,422,28574,114,431,23985,212,3164,130902
9699,20,2,4,Kansas,10121,10121,1124060,436,872,52382,111,422,16639,259,3261,129304,9664,9664,1083133,415,830,50091,102,390,15409,234,3068,121265
9699,21,3,6,Kentucky,14056,14056,1314348,374,748,32251,173,652,23328,357,3322,114152,13121,13121,1251227,351,702,30574,156,599,21658,332,3152,109153
9699,22,3,7,Louisiana,14422,14422,1308078,213,426,14246,72,272,7778,183,2878,106301,13015,13015,1199586,208,416,13967,69,263,7597,182,2867,105188
9699,23,1,1,Maine,4463,4463,425650,23,46,1879,11,41,2116,14,135,6777,3690,3690,363805,23,46,1879,11,41,2116,11,120,6060
9699,24,3,5,Maryland,22594,22594,2170591,34,68,3687,19,66,4889,143,2380,104843,22375,22375,2152986,33,66,3650,19,66,4889,130,2311,102723
