Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200099,01,3,6,Alabama,13672,13672,1499106,94,188,10165,58,214,11796,206,3332,196965,13136,13136,1452162,94,188,10165,44,158,8880,204,3289,194994
200099,02,4,9,Alaska,1607,1607,273589,129,258,33552,13,47,5260,25,235,20174,1459,1459,251743,120,240,31805,13,47,5260,25,235,20174
200099,04,4,8,Arizona,48844,48844,6357265,214,428,34213,260,957,82493,970,11256,683617,48466,48466,6316690,206,412,33646,249,923,80623,958,11196,681560
200099,05,3,7,Arkansas,6927,6927,768450,160,320,17631,147,573,20692,115,1383,51842,6285,6285,721787,153,306,17311,143,558,20263,107,1328,50214
200099,06,4,9,California,105018,105018,19996526,620,1240,137085,863,3001,284740,1925,36316,2925614,102999,102999,19670161,591,1182,131888,841,2928,280079,1877,35906,2894309
200099,08,4,8,Colorado,38588,38588,5649895,382,764,87450,261,952,88840,866,14292,995904,37780,37780,5567263,372,744,86718,256,937,87021,859,14221,983568
200099,09,1,1,Connecticut,8158,8158,1328487,75,150,10306,28,94,4032,35,974,82221,7854,7854,1270886,73,146,9896,28,94,4032,23,892,81117
200099,10,3,5,Delaware,3915,3915,388347,0,0,0,0,0,0,60,696,25741,3679,3679,368118,0,0,0,0,0,0,47,614,23884
200099,11,3,5,District of Columbia,187,187,21595,4,8,490,2,7,445,8,604,31462,187,187,21595,4,8,490,2,7,445,8,604,31462
200099,12,3,5,Florida,106447,106447,13539656,802,1604,122065,959,3672,309830,2554,43546,3490861,105101,105101,13402660,794,1588,121180,954,3656,308945,2517,43270,3477693
200099,13,3,5,Georgia,68852,68852,7586218,407,814,41221,193,720,29881,1091,21434,1064926,67071,67071,7424030,389,778,40078,175,662,27982,1056,21159,1044143
200099,15,4,9,Hawaii,4255,4255,744807,21,42,3975,25,98,41938,53,510,32643,4255,4255,744807,21,42,3975,25,98,41938,53,510,32643
200099,16,4,8,Idaho,9681,9681,1287171,111,222,16198,106,408,23598,63,604,31967,9421,9421,1249945,110,220,15858,102,395,22546,62,595,31579
200099,17,2,3,Illinois,37817,37817,5612169,535,1070,81713,588,2040,153194,678,11017,680880,35686,35686,5366049,490,980,75617,555,1923,144478,638,10633,652199
200099,18,2,3,Indiana,30417,30417,4043635,464,928,68390,202,741,40557,430,5817,261857,28533,28533,3871913,417,834,63768,194,716,40097,398,5458,246726
200099,19,2,4,Iowa,8470,8470,1098818,237,474,40428,104,392,30642,240,3164,163296,8227,8227,1075117,230,460,39329,99,375,30112,228,3043,154907
200099,20,2,4,Kansas,9292,9292,1235242,271,542,41842,53,206,14196,248,2502,105763,9082,9082,1214342,266,532,41413,53,206,14196,245,2479,104980
200099,21,3,6,Kentucky,14825,14825,1606725,246,492,22460,104,402,20684,234,2741,117312,13371,13371,1483177,208,416,19602,93,365,19574,206,2586,112550
200099,22,3,7,Louisiana,13109,13109,1447423,181,362,23388,46,169,7629,79,1080,74551,12558,12558,1382937,159,318,20582,33,123,5241,61,817,62607
200099,23,1,1,Maine,5748,5748,691944,43,86,5424,26,90,7762,25,253,17849,4678,4678,590831,39,78,4998,22,78,6980,19,223,16537
200099,24,3,5,Maryland,25132,25132,2960680,140,280,19992,17,66,3623,215,4880,247832,24300,24300,2869127,140,280,19992,17,66,3623,208,4787,243291
