Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8899,42,1,2,Pennsylvania,45293,45293,3537172,394,788,32731,255,941,41289,555,6811,251917,41566,41566,3320992,382,764,31792,221,826,37956,456,6023,215315
8899,44,1,1,Rhode Island,3655,3655,287536,314,628,22649,67,246,8690,138,1536,45936,3371,3371,271807,314,628,22649,67,246,8690,138,1536,45936
8899,45,3,5,South Carolina,17091,17091,1217753,232,464,15100,178,676,20704,387,4871,137334,15986,15986,1162144,212,424,14093,172,658,20440,360,4641,132254
8899,46,2,4,South Dakota,1094,1094,66362,17,34,1367,26,100,2038,35,694,20163,1076,1076,65430,17,34,1367,23,91,1860,35,694,20163
8899,47,3,6,Tennessee,19397,19397,1432052,333,666,20958,166,632,18421,509,7108,188715,19110,19110,1420030,326,652,20612,164,624,18180,426,6552,174638
8899,48,3,7,Texas,35881,35881,3009162,251,502,14939,94,351,7669,211,3745,107204,35330,35330,2979708,251,502,14939,91,342,7439,192,3581,103802
8899,49,4,8,Utah,5857,5857,435464,29,58,2682,31,114,4694,22,240,9566,5684,5684,426417,21,42,2126,23,88,3991,22,240,9566
8899,50,1,1,Vermont,3703,3703,297862,75,150,9304,49,179,8536,98,778,28220,3108,3108,264326,55,110,7926,37,141,6538,55,477,19007
8899,51,3,5,Virginia,48204,48204,3447237,410,820,29349,317,1164,37253,1172,16299,544823,47216,47216,3395731,407,814,29181,316,1161,37133,1166,16263,543930
8899,53,4,9,Washington,21484,21484,1757437,463,926,44738,350,1304,56568,1656,21341,809485,21157,21157,1740579,457,914,44459,336,1257,55159,1643,21237,807042
8899,54,3,5,West Virginia,1302,1302,79627,18,36,1010,18,70,2073,32,376,7853,1215,1215,76408,17,34,936,17,67,1949,24,327,6905
8899,55,2,3,Wisconsin,14774,14774,1127570,654,1308,60368,294,1118,42745,504,6922,229268,13474,13474,1054610,623,1246,58634,250,974,38815,469,6644,223422
8899,56,4,8,Wyoming,501,501,42268,6,12,386,1,4,240,4,190,6775,488,488,41503,4,8,288,1,4,240,4,190,6775
8899,US, , ,United States ,993772,993772,82814685,17513,35026,1728284,11035,40684,1877376,28674,386141,15204546,956823,956823,80551731,16797,33594,1672944,10534,38984,1816058,27405,374813,14788250
8899,R1,1, ,Northeast ,166025,166025,13867794,5027,10054,504479,1939,6858,325828,3332,47239,2085563,149619,149619,12859757,4740,9480,481727,1784,6333,309030,2849,42488,1845324
8899,R2,2, ,Midwest ,177758,177758,15222631,3985,7970,378229,2467,9293,403374,5061,71304,2360337,169331,169331,14654050,3785,7570,364138,2302,8730,383307,4825,69284,2306959
8899,R3,3, ,South ,391645,391645,27584867,5224,10448,396401,3168,11928,386256,9514,129493,4172665,382304,382304,27098010,5060,10120,385386,3074,11611,377322,9039,125614,4076487
