Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200899,42,1,2,Pennsylvania,20238,20238,3733036,169,338,33475,94,334,33077,222,3667,345343,19715,19715,3663525,159,318,31836,92,328,32430,176,3323,324948
200899,43,0,0,Puerto Rico,6787,6787,446482,42,84,2324,40,151,6734,170,2129,235135,6787,6787,446482,42,84,2324,40,151,6734,170,2129,235135
200899,44,1,1,Rhode Island,874,874,204330,33,66,6900,12,36,3962,7,82,17147,812,812,195409,32,64,6663,9,27,2340,7,82,17147
200899,45,3,5,South Carolina,19778,19778,3651114,83,166,14311,52,189,15197,341,5785,558089,16615,16615,3124982,71,142,11755,43,162,10272,276,4441,397533
200899,46,2,4,South Dakota,2664,2664,400195,62,124,15240,48,186,15053,61,910,70010,2572,2572,388004,60,120,14845,45,177,14618,57,890,69052
200899,47,3,6,Tennessee,16240,16240,2639023,237,474,36823,120,454,28425,255,5221,373646,14501,14501,2420440,218,436,35010,113,430,27497,230,4990,355367
200899,48,3,7,Texas,79626,79626,13855784,700,1400,113782,410,1579,111090,1901,46918,3501385,75993,75993,13307033,627,1254,103397,379,1466,104299,1815,45805,3434779
200899,49,4,8,Utah,7084,7084,1447335,72,144,16553,98,359,36898,207,3318,326137,6613,6613,1363929,25,50,6119,90,334,34789,168,2955,292503
200899,50,1,1,Vermont,1057,1057,207813,46,92,8881,16,59,6148,18,236,17870,806,806,169186,35,70,7160,15,56,5285,6,151,11974
200899,51,3,5,Virginia,19939,19939,3460498,139,278,25724,53,206,16882,301,7154,575236,19182,19182,3319464,136,272,25185,53,206,16882,293,6395,492544
200899,52,0,0,Virgin Islands,318,318,78772,101,202,32180,3,11,1404,0,0,0,318,318,78772,101,202,32180,3,11,1404,0,0,0
200899,53,4,9,Washington,17440,17440,3655942,612,1224,158183,294,1029,129973,319,9226,1119222,16821,16821,3556247,600,1200,155632,294,1029,129973,304,9110,1109101
200899,54,3,5,West Virginia,2560,2560,431494,23,46,5463,23,83,6128,50,792,40339,2239,2239,395973,14,28,2362,21,75,5605,39,652,36871
200899,55,2,3,Wisconsin,10124,10124,2082745,276,552,63166,76,291,30779,252,4542,330764,9449,9449,1975948,267,534,61486,69,270,29238,219,4333,321052
200899,56,4,8,Wyoming,2178,2178,519061,19,38,9473,55,210,17434,22,243,21469,2106,2106,505426,19,38,9473,53,204,15768,14,203,18043
200899,US,0,0,United States,575554,575554,110687389,8417,16834,1818187,4884,17571,1715485,13383,295400,27412296,532726,532726,103752435,7844,15688,1707669,4545,16476,1624768,11706,276151,25779651
200899,R1,1,0,Northeast Region,58015,58015,12163304,1834,3668,390807,777,2595,257860,2271,54753,5143030,52080,52080,11160003,1725,3450,371394,737,2470,244388,1751,49836,4742650
200899,R2,2,0,Midwest Region,93225,93225,17917243,1615,3230,329778,1177,4295,372710,1969,36982,3154486,85644,85644,16718879,1542,3084,316865,1120,4121,364418,1701,34415,2985140
