Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9099,01,3,6,Alabama,8817,8817,578194,80,160,4726,49,188,5946,253,3360,93840,8660,8660,569763,79,158,4636,49,188,5946,250,3306,92410
9099,02,4,9,Alaska,626,626,84978,28,56,4367,7,26,1359,2,24,1363,626,626,84978,28,56,4367,7,26,1359,2,24,1363
9099,04,4,8,Arizona,18723,18723,1772611,104,208,9412,90,317,12483,300,3782,168413,18671,18671,1769149,103,206,9239,90,317,12483,300,3782,168413
9099,05,3,7,Arkansas,4784,4784,304715,135,270,8137,45,164,4182,60,697,15645,4690,4690,300345,132,264,7919,43,158,4073,60,697,15645
9099,06,4,9,California,104843,104843,13298405,1963,3926,309989,1614,5746,416182,3991,48660,3208501,104420,104420,13243083,1940,3880,306771,1583,5639,410038,3966,48454,3196803
9099,08,4,8,Colorado,10095,10095,1061872,102,204,16256,46,165,12650,100,1433,65731,9964,9964,1050787,102,204,16256,46,165,12650,97,1398,63988
9099,09,1,1,Connecticut,5525,5525,554055,148,296,12064,50,181,7937,84,1582,74715,5512,5512,552318,147,294,12000,50,181,7937,84,1582,74715
9099,10,3,5,Delaware,4152,4152,245729,38,76,2592,3,12,246,58,902,25895,4152,4152,245729,38,76,2592,3,12,246,58,902,25895
9099,11,3,5,District of Columbia,180,180,14212,13,26,1092,0,0,0,3,162,5497,180,180,14212,13,26,1092,0,0,0,3,162,5497
9099,12,3,5,Florida,82624,82624,6572897,1106,2212,104616,553,2114,95011,2676,39397,1651838,82207,82207,6542200,1099,2198,103916,548,2094,94015,2668,39285,1646250
9099,13,3,5,Georgia,33009,33009,2398572,389,778,25145,92,343,8961,355,7121,287721,31758,31758,2336369,372,744,24349,81,304,7861,338,6917,281451
9099,15,4,9,Hawaii,5535,5535,652770,96,192,32443,55,213,41006,214,2778,281379,5535,5535,652770,96,192,32443,55,213,41006,214,2778,281379
9099,16,4,8,Idaho,4677,4677,405818,62,124,10420,75,290,11118,58,612,17963,4633,4633,404046,62,124,10420,74,287,11118,58,612,17963
9099,17,2,3,Illinois,27401,27401,2940355,642,1284,68161,338,1239,63492,482,8331,442906,26468,26468,2878516,628,1256,66967,335,1229,63326,476,8272,441590
9099,18,2,3,Indiana,19331,19331,1845037,424,848,42192,128,479,22487,313,4344,123237,19035,19035,1826682,409,818,41142,126,473,22391,309,4284,121680
9099,19,2,4,Iowa,5249,5249,443213,81,162,7740,99,383,16100,118,1843,63713,5177,5177,439197,80,160,7670,99,383,16100,118,1843,63713
9099,20,2,4,Kansas,6362,6362,584835,207,414,21807,97,358,15825,128,1320,36122,6308,6308,581237,207,414,21807,97,358,15825,128,1320,36122
9099,21,3,6,Kentucky,8739,8739,689050,202,404,12619,95,370,12221,219,2297,57120,8449,8449,677584,195,390,12280,92,360,12084,213,2242,55921
9099,22,3,7,Louisiana,5711,5711,413403,33,66,2225,10,35,1919,38,639,22680,5457,5457,398833,30,60,2062,9,32,1832,32,580,21082
9099,23,1,1,Maine,4047,4047,303370,56,112,4441,32,126,4087,37,472,13569,3521,3521,274607,55,110,4352,31,123,3952,34,438,12438
9099,24,3,5,Maryland,23667,23667,1904160,58,116,4436,37,133,4774,312,8088,266686,23555,23555,1897506,58,116,4436,37,133,4774,305,8005,264158
