Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2019,01,001,3,6,Autauga County                ,242,242,69003879,0,0,0,0,0,0,0,0,0,242,242,69003879,0,0,0,0,0,0,0,0,0
2019,01,003,3,6,Baldwin County                ,2740,2740,571399246,21,42,5607750,6,22,2574702,10,346,42386042,2740,2740,571399246,21,42,5607750,6,22,2574702,10,346,42386042
2019,01,005,3,6,Barbour County                ,9,9,2261600,0,0,0,0,0,0,0,0,0,9,9,2261600,0,0,0,0,0,0,0,0,0
2019,01,007,3,6,Bibb County                   ,14,14,2925717,0,0,0,1,3,280000,0,0,0,14,14,2925717,0,0,0,1,3,280000,0,0,0
2019,01,009,3,6,Blount County                 ,25,25,4341017,0,0,0,1,4,175000,0,0,0,25,25,4341017,0,0,0,1,4,175000,0,0,0
2019,01,011,3,6,Bullock County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,013,3,6,Butler County                 ,7,7,1108371,0,0,0,0,0,0,0,0,0,7,7,1108371,0,0,0,0,0,0,0,0,0
2019,01,015,3,6,Calhoun County                ,105,105,11476067,0,0,0,0,0,0,0,0,0,103,103,11282747,0,0,0,0,0,0,0,0,0
2019,01,017,3,6,Chambers County               ,9,9,934461,0,0,0,0,0,0,1,56,4834000,9,9,934461,0,0,0,0,0,0,1,56,4834000
2019,01,019,3,6,Cherokee County               ,26,26,4246000,0,0,0,0,0,0,0,0,0,26,26,4246000,0,0,0,0,0,0,0,0,0
2019,01,021,3,6,Chilton County                ,31,31,5254882,0,0,0,0,0,0,0,0,0,31,31,5254882,0,0,0,0,0,0,0,0,0
2019,01,023,3,6,Choctaw County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,025,3,6,Clarke County                 ,4,4,771440,0,0,0,0,0,0,0,0,0,4,4,771440,0,0,0,0,0,0,0,0,0
2019,01,027,3,6,Clay County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,029,3,6,Cleburne County               ,1,1,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,031,3,6,Coffee County                 ,125,125,20220230,0,0,0,0,0,0,9,182,15873400,123,123,19920230,0,0,0,0,0,0,9,182,15873400
2019,01,033,3,6,Colbert County                ,162,162,19569606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,035,3,6,Conecuh County                ,10,10,140000,0,0,0,0,0,0,0,0,0,10,10,140000,0,0,0,0,0,0,0,0,0
2019,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,039,3,6,Covington County              ,12,12,1767024,0,0,0,0,0,0,3,56,7235377,12,12,1767024,0,0,0,0,0,0,3,56,7235377
2019,01,041,3,6,Crenshaw County               ,4,4,674483,0,0,0,0,0,0,0,0,0,4,4,674483,0,0,0,0,0,0,0,0,0
2019,01,043,3,6,Cullman County                ,188,188,26547585,2,4,300000,0,0,0,2,56,7342000,157,157,24857551,2,4,300000,0,0,0,2,56,7342000
2019,01,045,3,6,Dale County                   ,34,34,4309827,0,0,0,0,0,0,0,0,0,21,21,2485500,0,0,0,0,0,0,0,0,0
