Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2008,02,009000,013,0070,01090 ,01598 ,713 ,999,99999, , ,99503      ,4,9,12,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,02,041000,020,0140,03000 ,03050 ,260283 ,999,11260, ,1,995196650  ,4,9,12,Municipality of Anchorage,223,223,77032440,34,68,15547508,14,53,10701591,7,56,9807190,223,223,77032440,34,68,15547508,14,53,10701591,7,56,9807190
2008,02,049000,232,0160,03440 ,33390 ,572 ,999,99999, , ,99820      ,4,9,7,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,02,069000,000,    ,  ,  , ,999,99999,2, ,995196650  ,4,9,0,Balance of State-Part 1 Anchorage,46,46,8014684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,02,073000,000,    ,  ,  , ,999,99999,2, ,99701      ,4,9,0,Balance of State-Part 2 Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,02,077000,000,    ,  ,  , ,999,99999,2, ,99801      ,4,9,0,Balance of State-Part 3 Juneau,45,45,9508918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,02,085000,050,0310,06520 ,45510 ,5471 ,999,99999, , ,99559      ,4,9,12,Bethel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,02,097000,060,    ,  ,  ,1258 ,999,99999, , ,99633      ,4,9,12,Bristol Bay Borough,9,9,1250000,0,0,0,0,0,0,0,0,0,9,9,1250000,0,0,0,0,0,0,0,0,0
2008,02,133000,261,0820,17410 ,14420 ,2454 ,999,99999,2, ,99574      ,4,9,12,Cordova,7,7,990000,0,0,0,0,0,0,1,9,200000,7,7,990000,0,0,0,0,0,0,1,9,200000
2008,02,137000,201,0830,17740 ,64310 ,1397 ,999,99999, , ,99921      ,4,9,12,Craig,3,3,659460,0,0,0,0,0,0,0,0,0,3,3,659460,0,0,0,0,0,0,0,0,0
2008,02,177000,090,1080,24230 ,24450 ,30224 ,999,21820, ,1,99701      ,4,9,0,Fairbanks,2,2,183648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,02,181000,090,    ,  ,  , ,999,21820,2, ,99707      ,4,9,0,Fairbanks North Star Borough Unincorporated Area,46,46,8543955,3,6,724800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,02,209000,100,    ,  ,  ,2392 ,999,99999, , ,99827      ,4,9,12,Haines borough,3,3,702573,0,0,0,0,0,0,0,0,0,3,3,702573,0,0,0,0,0,0,0,0,0
