Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,02,565000,122,3070,9999,9999, ,99669      ,4,9,12,,Soldotna,18,18,2759558,0,0,0,0,0,0,0,0,0,18,18,2759558,0,0,0,0,0,0,0,0,0
2002,02,597000,232,3290,9999,9999, ,99841      ,4,9,8,,Tenakee Springs,1,1,152694,0,0,0,0,0,0,0,0,0,1,1,152694,0,0,0,0,0,0,0,0,0
2002,02,625000,016,3430,9999,9999, ,99685      ,4,9,10,,Unalaska,8,8,685160,0,0,0,0,0,0,0,0,0,7,7,541370,0,0,0,0,0,0,0,0,0
2002,02,633000,261,3470,9999,9999, ,99686      ,4,9,12,,Valdez,11,11,1565877,0,0,0,1,3,80000,0,0,0,11,11,1565877,0,0,0,1,3,80000,0,0,0
2002,02,645000,170,3520,9999,9999, ,99654      ,4,9,12,,Wasilla,49,49,7431691,10,20,1945244,14,52,4140709,4,32,2239808,49,49,7431691,10,20,1945244,14,52,4140709,4,32,2239808
2002,02,653000,261,3550,9999,9999, ,99693      ,4,9,11,,Whittier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,02,657000,280,3590,9999,9999, ,99929      ,4,9,11,,Wrangell,5,5,583400,0,0,0,0,0,0,0,0,0,4,4,485650,0,0,0,0,0,0,0,0,0
2002,02,661000,282,3610,9999,9999, ,99689      ,4,9,5,,City and Borough of Yakutat,5,5,552500,0,0,0,0,0,0,0,0,0,4,4,450000,0,0,0,0,0,0,0,0,0
2002,04,001000,001,    ,9999,9999, ,85936      ,4,8,12,,Apache County Unincorporated Area,71,71,7706962,0,0,0,0,0,0,0,0,0,71,71,7706962,0,0,0,0,0,0,0,0,0
2002,04,009000,021,0007,6200,9999, ,852192899  ,4,8,12,,Apache Junction,268,268,23686844,0,0,0,7,28,1529940,0,0,0,268,268,23686844,0,0,0,7,28,1529940,0,0,0
2002,04,013000,013,0013,6200,9999, ,85323      ,4,8,12,,Avondale,2044,2044,304052992,0,0,0,0,0,0,0,0,0,2044,2044,304052992,0,0,0,0,0,0,0,0,0
2002,04,017000,003,0020,9999,9999, ,85602      ,4,8,12,,Benson,3,3,318000,0,0,0,10,40,2200000,4,48,2689000,3,3,318000,0,0,0,10,40,2200000,4,48,2689000
2002,04,021000,003,0023,9999,9999, ,85603      ,4,8,12,,Bisbee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,025000,013,0030,6200,9999, ,85326      ,4,8,0,,Buckeye town,23,23,2057760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,029000,015,0031,4120,9999, ,86442      ,4,8,12,,Bullhead City,373,373,37705668,1,2,123147,0,0,0,0,0,0,373,373,37705668,1,2,123147,0,0,0,0,0,0
2002,04,033000,025,0036,9999,9999, ,86322      ,4,8,12,,Camp Verde town,36,36,4332627,0,0,0,0,0,0,9,59,1312694,36,36,4332627,0,0,0,0,0,0,9,59,1312694
2002,04,037000,013,0039,6200,9999, ,85377      ,4,8,12,,Carefree town,38,38,13833775,0,0,0,7,28,4143468,1,40,4122765,38,38,13833775,0,0,0,7,28,4143468,1,40,4122765
2002,04,041000,021,0040,6200,9999, ,85222      ,4,8,12,,Casa Grande,595,595,68921216,0,0,0,0,0,0,0,0,0,595,595,68921216,0,0,0,0,0,0,0,0,0
2002,04,045000,013,0044,6200,9999, ,85331      ,4,8,12,,Cave Creek town,82,82,29494903,0,0,0,1,4,277163,0,0,0,82,82,29494903,0,0,0,1,4,277163,0,0,0
2002,04,049000,013,0050,6200,9999, ,85225      ,4,8,12,,Chandler,3272,3272,632460066,0,0,0,0,0,0,47,760,56180539,3272,3272,632460066,0,0,0,0,0,0,47,760,56180539
2002,04,053000,025,0053,9999,9999, ,86323      ,4,8,12,,Chino Valley town,112,112,20714060,4,8,957774,0,0,0,0,0,0,112,112,20714060,4,8,957774,0,0,0,0,0,0
2002,04,057000,025,0058,9999,9999, ,86324      ,4,8,12,,Clarkdale town,27,27,2971845,0,0,0,3,12,710173,4,28,1657070,27,27,2971845,0,0,0,3,12,710173,4,28,1657070
2002,04,061000,011,0062,9999,9999, ,85533      ,4,8,12,,Clifton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,065000,003,    ,9999,9999, ,85603      ,4,8,12,,Cochise County Unincorporated Area,258,258,24295179,0,0,0,0,0,0,0,0,0,258,258,24295179,0,0,0,0,0,0,0,0,0
2002,04,069000,005,    ,2620,9999, ,860019331  ,4,8,12,,Coconino County Unincorporated Area,333,333,53139688,0,0,0,3,9,905087,0,0,0,333,333,53139688,0,0,0,3,9,905087,0,0,0
2002,04,073000,015,0063,4120,9999, ,86021      ,4,8,0,,Colorado City town,24,24,3296594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,077000,021,0067,6200,9999, ,85228      ,4,8,12,,Coolidge,24,24,2674998,0,0,0,0,0,0,0,0,0,24,24,2674998,0,0,0,0,0,0,0,0,0
2002,04,081000,025,0073,9999,9999, ,86326      ,4,8,12,,Cottonwood,82,82,10219591,2,4,177772,2,6,299048,0,0,0,82,82,10219591,2,4,177772,2,6,299048,0,0,0
2002,04,085000,003,0080,9999,9999, ,85607      ,4,8,12,,Douglas,17,17,1696565,0,0,0,1,3,450000,0,0,0,17,17,1696565,0,0,0,1,3,450000,0,0,0
2002,04,089000,011,0085,9999,9999, ,85534      ,4,8,12,,Duncan town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,093000,001,0090,9999,9999, ,85925      ,4,8,12,,Eagar town,6,6,734877,0,0,0,0,0,0,0,0,0,6,6,734877,0,0,0,0,0,0,0,0,0
2002,04,097000,013,0100,6200,9999, ,85335      ,4,8,9,,El Mirage,2085,2085,221952422,0,0,0,0,0,0,10,80,4787891,1698,1698,183865637,0,0,0,0,0,0,10,80,4787891
2002,04,101000,021,0105,6200,9999, ,85231      ,4,8,11,,Eloy,45,45,2822041,0,0,0,0,0,0,0,0,0,43,43,2682387,0,0,0,0,0,0,0,0,0
2002,04,105000,005,0115,2620,9999,1,86001      ,4,8,12,,Flagstaff,460,460,58583243,8,16,1428707,1,3,144655,1,6,415399,460,460,58583243,8,16,1428707,1,3,144655,1,6,415399
2002,04,109000,021,0120,6200,9999, ,85232      ,4,8,12,,Florence town,14,14,820486,0,0,0,0,0,0,0,0,0,14,14,820486,0,0,0,0,0,0,0,0,0
2002,04,113000,013,0124,6200,9999, ,85269      ,4,8,12,,Fountain Hills town,159,159,49505848,0,0,0,0,0,0,1,15,1578966,159,159,49505848,0,0,0,0,0,0,1,15,1578966
2002,04,117000,005,0125,2620,9999, ,86022      ,4,8,12,,Fredonia town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,04,121000,013,0129,6200,9999, ,85337      ,4,8,12,,Gila Bend town,5,5,514000,0,0,0,0,0,0,0,0,0,5,5,514000,0,0,0,0,0,0,0,0,0
2002,04,125000,007,    ,9999,9999, ,85547      ,4,8,12,,Gila County Unincorporated Area,112,112,13193824,0,0,0,0,0,0,0,0,0,112,112,13193824,0,0,0,0,0,0,0,0,0
2002,04,129000,013,0135,6200,9999, ,85296      ,4,8,12,,Gilbert town,3519,3519,559111160,0,0,0,0,0,0,17,272,18343252,3519,3519,559111160,0,0,0,0,0,0,17,272,18343252
2002,04,133000,013,0140,6200,9999, ,85301      ,4,8,12,,Glendale,670,670,105965105,0,0,0,0,0,0,52,624,44785173,670,670,105965105,0,0,0,0,0,0,52,624,44785173
2002,04,137000,007,0145,9999,9999, ,85501      ,4,8,12,,Globe,4,4,369994,1,2,141759,0,0,0,0,0,0,4,4,369994,1,2,141759,0,0,0,0,0,0
2002,04,141000,013,0150,6200,9999, ,85338      ,4,8,12,,Goodyear,1840,1840,292298545,0,0,0,0,0,0,0,0,0,1840,1840,292298545,0,0,0,0,0,0,0,0,0
2002,04,145000,009,    ,9999,9999, ,85546      ,4,8,12,,Graham County Unincorporated Area,25,25,2264767,0,0,0,0,0,0,0,0,0,25,25,2264767,0,0,0,0,0,0,0,0,0
2002,04,149000,011,    ,9999,9999, ,85533      ,4,8,12,,Greenlee County Unincorporated Area,3,3,339000,0,0,0,0,0,0,0,0,0,3,3,339000,0,0,0,0,0,0,0,0,0
2002,04,153000,013,0158,6200,9999, ,85283      ,4,8,12,,Guadalupe town,2,2,104000,0,0,0,0,0,0,0,0,0,2,2,104000,0,0,0,0,0,0,0,0,0
