"CMAPuid","CMAdguid","CMAname","CMApart","CMApop_2021","CMAtdwell_2021","CMAurdwell_2021","CMApop_2016","CMApop_2016a","CMAtdwell_2016a","CMAurdwell_2016a","CMAarea","CMAadj_2016","CMAir_2016","CMAir_2021","PRuid","CMAcode","CMAtype","XPRuid"
"59915","2021S0503915","Kelowna","0",222162,102097,94335,194882,194892,88379,81386,"2902.4539","1","0","0","59","915","B",
"59918","2021S0504918","Vernon","0",67086,31677,28723,61334,61324,29306,26177,"1041.0866","1","0","0","59","918","D",
"59920","2021S0504920","Salmon Arm","0",19705,8637,8215,17904,17904,7937,7534,"165.423","0","0","0","59","920","D",
"59925","2021S0503925","Kamloops","0",114142,50235,47102,103811,103811,46895,42857,"5654.0827","0","0","0","59","925","B",
"59930","2021S0503930","Chilliwack","0",113767,46708,44365,101512,101512,42395,39696,"1444.0238","0","0","0","59","930","B",
"59932","2021S0503932","Abbotsford - Mission","0",195726,70648,67613,180518,180518,65967,62631,"606.7175","0","0","0","59","932","B",
"59933","2021S0503933","Vancouver","0",2642825,1104532,1043319,2463431,2463431,1027613,960894,"2878.9307","0","0","1","59","933","B",
"59934","2021S0504934","Squamish","0",24232,10033,9308,19893,19893,7702,7377,"105.4301","0","0","0","59","934","D",
"59935","2021S0503935","Victoria","0",397237,186674,176676,367770,367770,172559,162716,"695.292","0","1","0","59","935","B",
"59936","2021S0504936","Ladysmith","0",15501,7136,6502,,14572,6672,6151,"412.0119","1","0","0","59","936","D",
"59937","2021S0504937","Duncan","0",47582,20901,20012,44451,44451,19732,18744,"373.2193","0","0","0","59","937","D",
"59938","2021S0503938","Nanaimo","0",115459,51568,49348,104936,104936,46928,44963,"1279.276","0","0","0","59","938","B",
"59939","2021S0504939","Parksville","0",31054,15647,14766,28922,28922,14642,13751,"81.8096","0","0","0","59","939","D",
"59940","2021S0504940","Port Alberni","0",25786,12682,11714,25112,24669,12087,11162,"1633.1279","1","0","0","59","940","D",
"59943","2021S0504943","Courtenay","0",63282,29985,28204,54157,57950,27771,26020,"624.3332","1","0","0","59","943","D",
"59944","2021S0504944","Campbell River","0",40704,18433,17640,37861,37861,17200,16389,"1734.0503","0","0","0","59","944","D",
"59945","2021S0504945","Powell River","0",17825,8884,8191,16783,16783,8332,7736,"799.7984","0","0","0","59","945","D",
"59950","2021S0504950","Williams Lake","0",23608,11177,10044,18277,23113,10881,9680,"12422.1404","1","0","0","59","950","D",
"59952","2021S0504952","Quesnel","0",23113,10943,10156,23146,23146,10768,10038,"21708.6198","0","0","1","59","952","D",
"59955","2021S0504955","Prince Rupert","0",13442,6316,5498,12687,13462,6280,5376,"3303.6339","1","0","1","59","955","D",
"59965","2021S0504965","Terrace","0",19606,8661,8000,15723,19160,8354,7679,"9721.8369","1","0","0","59","965","D",
"59970","2021S0504970","Prince George","0",89490,39207,36799,86622,86622,37394,35095,"17650.9918","0","0","0","59","970","K",
"59975","2021S0504975","Dawson Creek","0",17878,8578,7542,12178,18890,8838,7614,"11716.7959","1","0","0","59","975","D",
"59977","2021S0504977","Fort St. John","0",28729,13054,11592,28396,28396,12737,10965,"617.7325","0","0","0","59","977","D",
"60990","2021S0504990","Whitehorse","0",31913,14121,13186,28225,28225,12516,11625,"8465.2077","0","0","0","60","990","D",
"61995","2021S0504995","Yellowknife","0",20340,7975,7519,19569,19569,7758,7131,"103.3722","0","0","0","61","995","D",
